text,ticker,timestamp,likes,retweets,replies
$MSFT strong buy 🚀,MSFT,2024-01-19 22:16:00,255,34,48
$QCOM falling knife 📉,QCOM,2024-08-25 21:47:00,357,61,22
$AMZN dump 😭,AMZN,2024-07-16 18:38:00,320,15,50
$GOOGL bubble 💸,GOOGL,2024-06-16 07:28:00,89,45,18
$MSFT crash incoming 📉,MSFT,2024-04-23 09:15:00,215,66,13
$NVDA bullish 💎,NVDA,2024-11-09 14:07:00,242,82,32
$AMD bubble 🔻,AMD,2024-11-22 08:54:00,436,18,16
$AAPL crash incoming 📉,AAPL,2024-02-03 11:40:00,3,58,25
$MSFT moon mission 🚀,MSFT,2024-12-24 13:13:00,118,25,12
$META dump 🔻,META,2024-09-11 06:47:00,425,40,30
$AMD sell off 💸,AMD,2024-03-19 22:25:00,244,21,18
$TSLA overvalued 📉,TSLA,2024-06-15 23:41:00,275,62,19
$QCOM bullish 🔥,QCOM,2024-07-20 07:28:00,248,28,27
$GOOGL put options 🔻,GOOGL,2024-02-25 13:39:00,419,0,45
$GOOGL hodl 🚀,GOOGL,2024-01-12 14:49:00,163,61,18
$QCOM to the moon 🔥,QCOM,2024-12-17 07:16:00,457,83,35
$QCOM bearish 📉,QCOM,2024-06-10 06:12:00,351,31,16
$TSLA rally 🚀,TSLA,2024-01-05 01:18:00,397,29,47
$AMZN overvalued 💸,AMZN,2024-02-09 18:24:00,250,98,45
$NVDA moon mission 🔥,NVDA,2024-01-10 02:04:00,306,54,33
$INTC overvalued 😭,INTC,2024-05-28 03:30:00,428,31,10
$MSFT crash incoming 💀,MSFT,2024-09-25 08:21:00,411,66,5
$NVDA bullish 💰,NVDA,2024-09-13 21:03:00,351,73,46
$INTC overvalued 💸,INTC,2024-01-06 21:38:00,102,78,22
$QCOM overvalued 💀,QCOM,2024-04-05 13:06:00,350,17,35
$QCOM bubble 🔻,QCOM,2024-10-09 13:30:00,80,0,26
$INTC crash incoming 📉,INTC,2024-12-17 10:47:00,67,25,18
$QCOM pumping 🔥,QCOM,2024-01-21 03:38:00,477,66,1
$TSLA diamond hands 🔥,TSLA,2024-01-12 20:53:00,193,75,34
$QCOM crash incoming 📉,QCOM,2024-10-22 09:15:00,209,82,9
$META hodl 🔥,META,2024-06-16 11:38:00,280,67,45
$GOOGL hodl 💎,GOOGL,2024-04-21 11:41:00,90,37,4
$AMZN dump 😭,AMZN,2024-11-04 10:27:00,125,31,12
$MSFT bullish 💰,MSFT,2024-05-31 06:54:00,197,77,40
$QCOM put options 💸,QCOM,2024-12-19 12:48:00,478,29,46
$AMD overvalued 🔻,AMD,2024-09-11 03:37:00,433,39,19
$AMZN breakout 💰,AMZN,2024-10-19 16:14:00,313,32,24
$GOOGL crash incoming 😭,GOOGL,2024-11-01 15:59:00,230,25,4
$AMD overvalued 💀,AMD,2024-08-15 20:07:00,412,28,6
$QCOM sell off 💀,QCOM,2024-07-02 05:49:00,436,78,1
$QCOM breakout 💎,QCOM,2024-07-30 02:25:00,136,70,43
$NVDA hodl 📈,NVDA,2024-05-30 02:39:00,66,51,24
$AMD bullish 🔥,AMD,2024-07-02 01:08:00,52,71,4
$NVDA diamond hands 🚀,NVDA,2024-01-12 14:53:00,40,39,34
$AAPL bubble 💸,AAPL,2024-03-04 00:14:00,246,7,24
$TSLA falling knife 💀,TSLA,2024-12-13 17:48:00,120,99,0
$MSFT bubble 💀,MSFT,2024-09-16 09:31:00,3,88,40
$TSLA to the moon 💎,TSLA,2024-01-02 22:55:00,85,53,6
$QCOM to the moon 💰,QCOM,2024-03-26 03:56:00,455,44,46
$GOOGL moon mission 💰,GOOGL,2024-05-22 05:54:00,186,6,16
$AAPL falling knife 💸,AAPL,2024-10-01 09:11:00,310,58,8
$AMZN rally 💰,AMZN,2024-11-16 21:52:00,381,91,47
$AAPL rally 💎,AAPL,2024-03-17 04:27:00,389,44,5
$TSLA bubble 😭,TSLA,2024-01-07 20:17:00,156,62,10
$INTC bearish 🔻,INTC,2024-11-18 13:01:00,454,65,5
$GOOGL moon mission 📈,GOOGL,2024-04-05 08:52:00,68,36,33
$AMD diamond hands 💰,AMD,2024-11-15 23:50:00,265,3,46
$AAPL sell off 💸,AAPL,2024-08-27 18:38:00,420,58,20
$AMD breakout 🚀,AMD,2024-10-19 10:07:00,369,2,50
$AAPL sell off 💸,AAPL,2024-02-02 15:27:00,473,44,0
$AMD diamond hands 💰,AMD,2024-07-02 09:58:00,6,100,24
$GOOGL breakout 🔥,GOOGL,2024-12-03 17:57:00,394,59,20
$INTC falling knife 💸,INTC,2024-12-21 12:09:00,353,59,44
$AMZN sell off 💸,AMZN,2024-07-13 12:26:00,269,59,40
$NVDA falling knife 😭,NVDA,2024-08-11 22:15:00,95,13,27
$MSFT crash incoming 😭,MSFT,2024-01-04 06:56:00,152,35,33
$TSLA to the moon 📈,TSLA,2024-03-18 12:11:00,326,95,31
$META hodl 📈,META,2024-11-15 22:02:00,250,18,35
$INTC put options 💸,INTC,2024-08-27 02:58:00,192,48,22
$AMD bullish 📈,AMD,2024-12-07 00:39:00,40,16,32
$GOOGL to the moon 💰,GOOGL,2024-08-16 06:39:00,243,78,37
$MSFT pumping 🔥,MSFT,2024-01-12 08:37:00,300,37,28
$AMZN falling knife 📉,AMZN,2024-09-15 08:03:00,123,92,11
$META strong buy 🚀,META,2024-07-07 05:25:00,277,49,1
$GOOGL pumping 💰,GOOGL,2024-11-10 08:12:00,357,53,17
$AMD diamond hands 💎,AMD,2024-06-24 15:13:00,484,74,1
$AMD dump 💸,AMD,2024-01-21 03:29:00,6,5,5
$INTC rally 📈,INTC,2024-04-24 01:51:00,103,43,12
$AAPL strong buy 🚀,AAPL,2024-06-18 12:50:00,205,59,44
$AAPL moon mission 💎,AAPL,2024-06-28 13:01:00,351,92,13
$NVDA short squeeze 😭,NVDA,2024-03-22 16:41:00,440,59,37
$MSFT dump 😭,MSFT,2024-01-20 06:52:00,113,11,48
$MSFT diamond hands 💎,MSFT,2024-10-24 14:55:00,433,79,24
$TSLA breakout 💰,TSLA,2024-02-08 19:17:00,46,9,20
$NVDA overvalued 😭,NVDA,2024-03-31 03:17:00,446,7,37
$INTC to the moon 🔥,INTC,2024-08-15 15:32:00,418,100,14
$NVDA bearish 🔻,NVDA,2024-03-05 20:34:00,324,87,5
$AMZN overvalued 💸,AMZN,2024-01-16 15:58:00,486,63,8
$QCOM bearish 🔻,QCOM,2024-06-27 22:04:00,367,19,9
$AAPL put options 😭,AAPL,2024-08-23 03:28:00,498,81,23
$AAPL short squeeze 💸,AAPL,2024-03-18 14:28:00,15,40,41
$QCOM bubble 😭,QCOM,2024-09-10 07:23:00,345,40,1
$AMD crash incoming 🔻,AMD,2024-06-09 03:49:00,320,91,39
$MSFT sell off 😭,MSFT,2024-09-13 02:09:00,405,21,31
$GOOGL falling knife 💸,GOOGL,2024-06-29 01:08:00,154,47,47
$AAPL bullish 💎,AAPL,2024-10-14 04:57:00,267,28,48
$MSFT bullish 💰,MSFT,2024-03-07 10:36:00,54,84,39
$MSFT sell off 💸,MSFT,2024-03-03 19:25:00,193,54,45
$AAPL bullish 💰,AAPL,2024-02-16 15:54:00,64,4,6
$NVDA diamond hands 📈,NVDA,2024-05-02 21:13:00,445,68,27
$MSFT diamond hands 💰,MSFT,2024-07-11 11:30:00,157,1,10
$QCOM sell off 💸,QCOM,2024-06-16 10:18:00,338,42,20
$META short squeeze 📉,META,2024-05-23 21:01:00,347,99,20
$GOOGL put options 💀,GOOGL,2024-08-14 07:26:00,478,81,11
$GOOGL crash incoming 💸,GOOGL,2024-12-15 11:55:00,322,79,18
$INTC overvalued 💸,INTC,2024-02-26 15:08:00,347,95,11
$QCOM breakout 🔥,QCOM,2024-06-27 22:56:00,495,42,50
$META crash incoming 💸,META,2024-12-25 02:41:00,212,26,19
$GOOGL bubble 💸,GOOGL,2024-10-06 10:13:00,245,93,46
$META bullish 🚀,META,2024-11-09 15:42:00,231,7,27
$MSFT pumping 💎,MSFT,2024-12-11 21:07:00,260,12,48
$QCOM overvalued 🔻,QCOM,2024-01-02 03:31:00,290,87,6
$NVDA short squeeze 😭,NVDA,2024-05-30 01:43:00,299,55,28
$INTC crash incoming 💀,INTC,2024-04-26 04:47:00,362,26,3
$MSFT dump 😭,MSFT,2024-12-25 08:49:00,203,88,32
$TSLA pumping 🔥,TSLA,2024-03-11 02:51:00,23,96,27
$AMZN bullish 📈,AMZN,2024-10-19 05:15:00,285,47,49
$AMD diamond hands 💰,AMD,2024-09-28 14:57:00,97,18,0
$GOOGL bearish 💀,GOOGL,2024-04-01 01:43:00,443,4,22
$GOOGL falling knife 📉,GOOGL,2024-03-20 19:29:00,473,22,22
$AAPL dump 😭,AAPL,2024-08-13 16:33:00,321,60,41
$AAPL bearish 😭,AAPL,2024-02-25 08:05:00,119,98,29
$TSLA pumping 🚀,TSLA,2024-03-17 04:59:00,480,61,33
$NVDA breakout 📈,NVDA,2024-05-24 03:57:00,340,36,41
$MSFT crash incoming 😭,MSFT,2024-10-06 19:09:00,31,22,44
$AAPL dump 💀,AAPL,2024-12-24 00:09:00,160,66,16
$NVDA overvalued 🔻,NVDA,2024-07-20 09:15:00,493,20,7
$QCOM pumping 📈,QCOM,2024-03-22 10:53:00,197,60,7
$MSFT to the moon 🔥,MSFT,2024-05-05 22:08:00,469,9,36
$INTC put options 💀,INTC,2024-09-16 08:59:00,286,4,41
$INTC falling knife 😭,INTC,2024-07-28 02:41:00,400,32,39
$QCOM bullish 🚀,QCOM,2024-07-07 15:57:00,491,75,17
$INTC short squeeze 📉,INTC,2024-07-30 04:37:00,171,46,36
$META dump 💸,META,2024-02-21 17:35:00,267,10,23
$QCOM bullish 📈,QCOM,2024-11-04 23:47:00,485,75,39
$QCOM overvalued 🔻,QCOM,2024-12-20 08:29:00,289,78,30
$INTC hodl 🔥,INTC,2024-10-19 03:27:00,380,99,13
$MSFT dump 🔻,MSFT,2024-06-27 12:09:00,205,18,4
$AMZN strong buy 📈,AMZN,2024-09-26 12:17:00,134,42,3
$MSFT rally 💎,MSFT,2024-12-21 05:42:00,123,26,47
$AMD pumping 🔥,AMD,2024-02-24 02:37:00,290,19,39
$QCOM bearish 💸,QCOM,2024-09-10 23:25:00,347,5,16
$AMZN to the moon 📈,AMZN,2024-02-18 23:06:00,229,46,43
$GOOGL bubble 😭,GOOGL,2024-12-14 18:40:00,114,76,36
$META hodl 🚀,META,2024-03-02 08:45:00,478,44,15
$GOOGL falling knife 🔻,GOOGL,2024-07-31 05:01:00,330,25,4
$MSFT diamond hands 📈,MSFT,2024-05-26 14:17:00,328,48,6
$AMZN rally 💰,AMZN,2024-08-26 05:38:00,214,65,10
$TSLA crash incoming 😭,TSLA,2024-01-13 14:32:00,134,55,48
$MSFT diamond hands 🔥,MSFT,2024-07-10 06:04:00,62,27,50
$META breakout 💰,META,2024-08-10 19:15:00,76,28,38
$AAPL sell off 😭,AAPL,2024-06-19 13:27:00,209,71,34
$AMZN rally 💰,AMZN,2024-07-25 22:08:00,415,40,26
$AMD breakout 💎,AMD,2024-11-14 13:42:00,477,21,33
$MSFT breakout 💰,MSFT,2024-11-18 16:27:00,218,36,1
$MSFT hodl 📈,MSFT,2024-06-01 01:49:00,67,29,41
$NVDA short squeeze 🔻,NVDA,2024-09-06 22:22:00,245,13,31
$AMD to the moon 📈,AMD,2024-12-04 04:31:00,219,76,10
$QCOM pumping 🚀,QCOM,2024-05-28 04:10:00,461,78,9
$AMD put options 🔻,AMD,2024-02-11 15:29:00,201,78,39
$INTC rally 📈,INTC,2024-07-04 10:03:00,489,75,37
$TSLA pumping 🚀,TSLA,2024-03-22 03:46:00,178,9,28
$GOOGL strong buy 🚀,GOOGL,2024-11-19 13:43:00,493,50,14
$INTC pumping 💰,INTC,2024-07-03 12:21:00,424,96,1
$MSFT bullish 🔥,MSFT,2024-11-18 08:45:00,76,69,43
$TSLA pumping 🚀,TSLA,2024-11-09 13:53:00,183,37,31
$META pumping 📈,META,2024-02-29 09:13:00,167,76,4
$QCOM bubble 🔻,QCOM,2024-05-24 13:54:00,93,68,24
$AMZN bearish 😭,AMZN,2024-09-11 12:19:00,308,20,1
$INTC to the moon 📈,INTC,2024-09-03 14:30:00,268,13,26
$META dump 💸,META,2024-04-27 01:54:00,308,32,50
$AMZN moon mission 🔥,AMZN,2024-10-07 20:43:00,191,73,41
$AMD strong buy 🚀,AMD,2024-04-20 13:28:00,212,47,20
$MSFT overvalued 😭,MSFT,2024-08-20 07:46:00,171,17,37
$QCOM dump 💀,QCOM,2024-12-27 11:55:00,383,67,49
$TSLA dump 💸,TSLA,2024-02-13 11:45:00,99,79,38
$GOOGL falling knife 🔻,GOOGL,2024-12-14 02:58:00,179,49,22
$META bubble 💀,META,2024-09-18 12:14:00,407,15,22
$AMZN sell off 📉,AMZN,2024-03-05 01:36:00,325,44,25
$AMZN short squeeze 💀,AMZN,2024-07-18 17:20:00,61,56,33
$AMD crash incoming 😭,AMD,2024-08-23 12:27:00,373,78,45
$AMD moon mission 📈,AMD,2024-06-12 15:55:00,221,0,34
$AAPL short squeeze 😭,AAPL,2024-07-05 17:58:00,232,17,7
$MSFT crash incoming 📉,MSFT,2024-05-02 21:19:00,61,98,33
$MSFT pumping 💰,MSFT,2024-06-06 11:27:00,59,42,3
$AMZN hodl 💰,AMZN,2024-10-21 05:42:00,18,88,31
$MSFT diamond hands 🚀,MSFT,2024-04-24 03:57:00,396,44,11
$NVDA falling knife 💸,NVDA,2024-08-30 17:39:00,111,60,27
$AAPL sell off 💀,AAPL,2024-05-27 20:36:00,142,9,19
$TSLA breakout 📈,TSLA,2024-05-03 01:56:00,492,81,42
$TSLA moon mission 📈,TSLA,2024-02-05 03:33:00,148,99,6
$GOOGL overvalued 😭,GOOGL,2024-05-25 07:09:00,288,59,9
$MSFT strong buy 💰,MSFT,2024-07-12 07:48:00,163,39,37
$MSFT hodl 💎,MSFT,2024-05-03 13:18:00,114,14,1
$AMZN dump 🔻,AMZN,2024-10-08 13:20:00,401,25,22
$AAPL short squeeze 😭,AAPL,2024-11-26 17:14:00,282,55,26
$QCOM bearish 💸,QCOM,2024-03-18 01:48:00,431,28,31
$META sell off 💀,META,2024-07-21 06:42:00,305,90,43
$META dump 📉,META,2024-10-18 22:56:00,42,50,7
$TSLA strong buy 💰,TSLA,2024-10-31 04:20:00,232,60,13
$AMD overvalued 💸,AMD,2024-01-26 03:28:00,438,12,0
$MSFT pumping 📈,MSFT,2024-12-09 06:38:00,253,90,29
$INTC strong buy 🔥,INTC,2024-01-01 09:20:00,449,79,20
$QCOM pumping 🚀,QCOM,2024-08-08 13:36:00,148,1,0
$INTC bullish 🚀,INTC,2024-08-31 19:34:00,110,58,20
$INTC falling knife 🔻,INTC,2024-04-16 17:41:00,259,54,46
$QCOM to the moon 💎,QCOM,2024-09-23 14:24:00,440,0,8
$GOOGL diamond hands 💎,GOOGL,2024-04-14 03:47:00,488,12,45
$GOOGL dump 💸,GOOGL,2024-02-26 01:16:00,94,37,19
$AMD to the moon 🚀,AMD,2024-12-04 11:25:00,31,58,45
$META dump 🔻,META,2024-12-09 00:35:00,156,93,9
$TSLA short squeeze 💀,TSLA,2024-04-07 16:29:00,336,75,15
$META pumping 📈,META,2024-05-23 16:36:00,416,57,9
$AMD to the moon 🔥,AMD,2024-11-27 20:56:00,316,49,15
$QCOM bullish 💎,QCOM,2024-03-28 01:41:00,164,25,9
$AMD strong buy 🔥,AMD,2024-03-23 07:55:00,344,32,0
$AAPL breakout 📈,AAPL,2024-03-25 06:17:00,173,18,49
$AMZN rally 🔥,AMZN,2024-03-18 14:00:00,137,21,50
$NVDA crash incoming 🔻,NVDA,2024-02-16 21:30:00,271,49,39
$AMZN strong buy 📈,AMZN,2024-11-20 15:46:00,452,48,37
$AAPL bearish 💸,AAPL,2024-11-24 05:47:00,285,9,42
$AMZN pumping 💎,AMZN,2024-10-09 21:17:00,312,86,33
$META breakout 💎,META,2024-08-23 07:16:00,388,1,10
$TSLA moon mission 💰,TSLA,2024-02-20 19:20:00,205,22,43
$TSLA bubble 📉,TSLA,2024-11-29 05:04:00,52,69,0
$TSLA strong buy 🚀,TSLA,2024-12-31 10:37:00,155,11,21
$AAPL hodl 🔥,AAPL,2024-11-09 21:39:00,495,11,47
$AMZN crash incoming 💀,AMZN,2024-09-19 02:52:00,35,88,32
$MSFT diamond hands 🔥,MSFT,2024-06-20 15:11:00,203,17,12
$INTC to the moon 💰,INTC,2024-11-18 23:23:00,216,86,17
$QCOM bearish 📉,QCOM,2024-12-19 10:52:00,153,70,23
$NVDA rally 💰,NVDA,2024-03-09 18:13:00,450,54,43
$MSFT hodl 🚀,MSFT,2024-12-01 16:43:00,317,96,11
$META pumping 🔥,META,2024-10-25 00:34:00,464,6,19
$AMZN diamond hands 🚀,AMZN,2024-10-16 06:10:00,99,22,46
$INTC strong buy 💰,INTC,2024-10-04 15:02:00,493,5,23
$MSFT overvalued 💀,MSFT,2024-07-17 05:37:00,309,61,33
$INTC overvalued 🔻,INTC,2024-07-15 02:58:00,4,66,26
$AMD pumping 🚀,AMD,2024-03-20 21:42:00,262,60,41
$MSFT crash incoming 😭,MSFT,2024-05-21 05:55:00,235,61,5
$AAPL falling knife 💀,AAPL,2024-06-27 21:00:00,285,33,46
$QCOM pumping 📈,QCOM,2024-10-22 07:32:00,390,22,13
$AMD short squeeze 😭,AMD,2024-07-09 06:49:00,53,37,10
$QCOM rally 💰,QCOM,2024-03-17 18:38:00,136,35,21
$QCOM breakout 🚀,QCOM,2024-05-31 11:06:00,321,85,34
$GOOGL strong buy 📈,GOOGL,2024-06-03 15:22:00,317,88,37
$AAPL bullish 💰,AAPL,2024-09-10 02:46:00,178,69,9
$INTC bubble 📉,INTC,2024-03-23 15:11:00,300,71,19
$META to the moon 💎,META,2024-02-27 22:17:00,227,77,50
$GOOGL overvalued 💸,GOOGL,2024-08-08 02:05:00,179,76,0
$AMZN hodl 🔥,AMZN,2024-11-04 16:32:00,394,87,26
$AMZN strong buy 💰,AMZN,2024-08-08 08:25:00,452,13,2
$GOOGL rally 🚀,GOOGL,2024-04-09 17:34:00,151,61,3
$AAPL falling knife 😭,AAPL,2024-08-03 14:26:00,378,7,19
$INTC to the moon 💰,INTC,2024-12-31 02:55:00,376,80,15
$AMZN diamond hands 🚀,AMZN,2024-10-16 11:04:00,297,91,41
$META moon mission 💎,META,2024-07-09 06:55:00,91,50,34
$AMZN rally 💰,AMZN,2024-05-09 21:37:00,124,18,10
$INTC falling knife 💀,INTC,2024-12-30 08:37:00,347,79,26
$INTC dump 📉,INTC,2024-05-20 10:50:00,79,67,49
$AMD overvalued 📉,AMD,2024-01-15 17:21:00,313,11,0
$AAPL rally 📈,AAPL,2024-10-15 18:32:00,214,58,15
$AMZN strong buy 📈,AMZN,2024-07-23 02:39:00,419,74,30
$AMD pumping 🚀,AMD,2024-08-25 03:22:00,281,76,49
$AAPL put options 💀,AAPL,2024-07-07 06:08:00,87,46,37
$QCOM hodl 💰,QCOM,2024-09-25 09:35:00,462,64,34
$NVDA dump 📉,NVDA,2024-10-16 13:01:00,2,76,37
$AMZN to the moon 🚀,AMZN,2024-04-21 11:35:00,450,55,26
$AMZN dump 😭,AMZN,2024-12-01 16:39:00,65,89,27
$META pumping 💎,META,2024-02-23 22:18:00,172,36,35
$AMD bullish 💎,AMD,2024-02-18 11:57:00,301,74,13
$AAPL hodl 📈,AAPL,2024-12-19 01:46:00,211,36,3
$NVDA hodl 🔥,NVDA,2024-12-10 10:38:00,46,56,33
$TSLA put options 🔻,TSLA,2024-03-18 23:19:00,363,68,10
$MSFT put options 🔻,MSFT,2024-11-12 23:48:00,351,84,34
$TSLA breakout 📈,TSLA,2024-11-29 03:57:00,295,7,33
$META strong buy 💰,META,2024-09-22 20:08:00,293,40,10
$INTC crash incoming 💸,INTC,2024-12-20 10:52:00,213,45,16
$QCOM dump 🔻,QCOM,2024-12-28 16:01:00,448,63,46
$MSFT diamond hands 💰,MSFT,2024-11-08 19:16:00,410,37,40
$INTC pumping 📈,INTC,2024-08-10 15:42:00,423,94,25
$AAPL bearish 💸,AAPL,2024-06-25 21:04:00,398,26,5
$AAPL pumping 💎,AAPL,2024-02-24 09:12:00,355,95,45
$QCOM bearish 💸,QCOM,2024-01-23 06:26:00,289,45,14
$QCOM hodl 🔥,QCOM,2024-03-17 13:35:00,302,77,36
$GOOGL to the moon 📈,GOOGL,2024-09-10 17:18:00,8,25,6
$META pumping 💰,META,2024-11-06 10:35:00,285,12,21
$AAPL falling knife 💀,AAPL,2024-09-20 03:16:00,132,30,17
$AMD crash incoming 😭,AMD,2024-12-02 00:11:00,121,37,47
$AMZN short squeeze 😭,AMZN,2024-05-10 23:14:00,9,85,28
$MSFT bubble 🔻,MSFT,2024-10-05 04:59:00,359,53,13
$INTC breakout 💎,INTC,2024-07-25 19:55:00,483,69,0
$AMD crash incoming 📉,AMD,2024-03-05 10:27:00,306,61,46
$AMZN hodl 🚀,AMZN,2024-12-14 21:40:00,303,70,13
$NVDA sell off 😭,NVDA,2024-08-19 22:58:00,111,76,23
$QCOM dump 🔻,QCOM,2024-08-07 10:02:00,80,17,34
$META to the moon 🚀,META,2024-09-18 20:05:00,137,15,8
$AMD bullish 📈,AMD,2024-11-22 07:30:00,175,58,49
$META rally 💎,META,2024-07-19 15:45:00,249,96,40
$NVDA falling knife 💸,NVDA,2024-08-04 09:27:00,480,10,32
$NVDA bearish 🔻,NVDA,2024-07-06 12:59:00,424,80,6
